instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1_Winter,0,1,False,Saturday,False,medium,0.355169596003472,0.37351737876240565,0.8286200514138818,0.28460620119145374,331,654,985
2,2011-01-02,1_Winter,0,1,False,Sunday,False,medium,0.3792320499775338,0.36054066910781774,0.7157706940874037,0.4662145544376673,131,670,801
3,2011-01-03,1_Winter,0,1,False,Monday,True,good,0.17099980237661433,0.14483010827663623,0.44963804627249365,0.4657403973395252,120,1229,1349
4,2011-01-04,1_Winter,0,1,False,Tuesday,True,good,0.17553043686730296,0.17464923767409474,0.6071311053984577,0.2842969683013611,108,1454,1562
5,2011-01-05,1_Winter,0,1,False,Wednesday,True,good,0.2091201821823453,0.19715830273143586,0.4493131105398458,0.3391425136881939,82,1518,1600
6,2011-01-06,1_Winter,0,1,False,Thursday,True,good,0.18094825830996364,0.20232877201420163,0.5329161953727507,0.1384817036175919,88,1518,1606
7,2011-01-07,1_Winter,0,1,False,Friday,True,medium,0.1711966781328103,0.17033985695428772,0.5127979434447301,0.30167585672456815,148,1362,1510
8,2011-01-08,1_Winter,0,1,False,Saturday,False,medium,0.13191871872261035,0.10919075526917943,0.5509850899742931,0.5038688126879491,68,891,959
9,2011-01-09,1_Winter,0,1,False,Sunday,False,good,0.09869032764362401,0.04870584689635321,0.4464442159383034,0.7000172964263192,54,768,822
10,2011-01-10,1_Winter,0,1,False,Monday,True,good,0.11426594126672851,0.0942713458079163,0.49657275064267353,0.41411499711485716,41,1280,1321
11,2011-01-11,1_Winter,0,1,False,Tuesday,True,medium,0.13701630554917993,0.14753282375092275,0.7057727506426735,0.20561987485138786,43,1220,1263
12,2011-01-12,1_Winter,0,1,False,Wednesday,True,good,0.1415469400398685,0.10685295232614678,0.6164987146529564,0.5818429167011118,25,1137,1162
13,2011-01-13,1_Winter,0,1,False,Thursday,True,good,0.13191871872261035,0.09426478263289373,0.4837192802056556,0.5743656654186715,38,1368,1406
14,2011-01-14,1_Winter,0,1,False,Friday,True,good,0.12677253598153654,0.14352797435216208,0.5530344473007712,0.21472369113571554,54,1367,1421
15,2011-01-15,1_Winter,0,1,False,Saturday,False,medium,0.2170649911792185,0.2218909714864174,0.512853470437018,0.27948736608412006,222,1026,1248
16,2011-01-16,1_Winter,0,1,False,Sunday,False,good,0.21498907339553108,0.20365190809874795,0.4974293059125965,0.3423028738249408,251,953,1204
17,2011-01-17,1_Winter,0,1,True,Monday,False,medium,0.14541716851293762,0.12824627762965418,0.5526992287917738,0.35381458354678996,117,883,1000
18,2011-01-18,1_Winter,0,1,False,Tuesday,True,medium,0.1962983370478057,0.20117890375025071,0.8860329048843187,0.2564227155884094,9,674,683
19,2011-01-19,1_Winter,0,1,False,Wednesday,True,medium,0.290383765674986,0.2879296385633262,0.7627136246786633,0.3832947857356228,78,1572,1650
20,2011-01-20,1_Winter,0,1,False,Thursday,True,medium,0.252370546090982,0.23099803314770923,0.5535557840616967,0.35770473330415553,83,1844,1927
21,2011-01-21,1_Winter,0,1,False,Friday,True,good,0.1474943323457148,0.10338759591423974,0.47000822622107974,0.6820652963801405,75,1468,1543
22,2011-01-22,1_Winter,0,1,False,Saturday,False,good,0.0,0.0,0.4113110539845759,0.30836353336097194,93,888,981
23,2011-01-23,1_Winter,0,1,False,Sunday,False,good,0.04659139533324713,0.025950137721664657,0.4488658097686376,0.4622172039450696,150,836,986
24,2011-01-24,1_Winter,0,1,False,Monday,True,good,0.047674959621779256,0.05100952132926867,0.5056442159383033,0.2802439558885467,86,1330,1416
25,2011-01-25,1_Winter,0,1,False,Tuesday,True,medium,0.2047851773987629,0.20405751231514163,0.6344030848329049,0.22141961398252177,186,1799,1985
26,2011-01-26,1_Winter,0,1,False,Wednesday,True,poor,0.19733629593964935,0.1634629621656587,0.8868894601542416,0.5596255643242551,34,472,506
27,2011-01-27,1_Winter,0,1,False,Thursday,True,good,0.16930019141806119,0.18459638573827314,0.7069408740359897,0.18851929602926418,15,416,431
28,2011-01-28,1_Winter,0,1,False,Friday,True,medium,0.17986419560179562,0.18934418654958657,0.815468380462725,0.20802776828890931,38,1129,1167
29,2011-01-29,1_Winter,0,1,False,Saturday,False,good,0.1711966781328103,0.17465448821411278,0.6701686375321336,0.2535159264215385,123,975,1098
30,2011-01-30,1_Winter,0,1,False,Sunday,False,good,0.1961176599297776,0.2247918948463849,0.7425953727506427,0.10635735406320682,140,956,1096
31,2011-01-31,1_Winter,0,1,False,Monday,True,medium,0.1516474139621794,0.14068874483740645,0.6208226221079692,0.33974448704757426,42,1459,1501
32,2011-02-01,1_Winter,0,2,False,Tuesday,True,medium,0.16577885669014975,0.20406276285515962,0.8530231362467866,0.0635397311694178,47,1313,1360
